# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 3.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005         	-3.137832e+03	6.284519e+02	1.535715e+00	-3.137064e+03	3.138600e+03
0.01          	-2.450960e+01	4.666861e+00	-4.099514e-01	-2.471457e+01	2.430462e+01
0.015         	-2.115942e+01	4.189077e+00	-1.107079e-01	-2.121478e+01	2.110407e+01
0.02          	-2.285906e+01	4.541648e+00	-8.710831e-02	-2.290261e+01	2.281550e+01
0.025         	-2.288485e+01	4.562932e+00	-5.419898e-02	-2.291195e+01	2.285775e+01
0.03          	-2.202087e+01	4.410603e+00	-1.848358e-02	-2.203011e+01	2.201163e+01
0.035         	-2.129332e+01	4.268928e+00	-9.781495e-03	-2.129821e+01	2.128843e+01
0.04          	-2.081332e+01	4.164448e+00	-2.187762e-02	-2.082426e+01	2.080239e+01
0.045         	-2.054931e+01	4.098304e+00	-3.906958e-02	-2.056884e+01	2.052978e+01
0.05          	-1.965016e+01	3.930389e+00	-1.591379e-02	-1.965811e+01	1.964220e+01
0.055         	-1.891634e+01	3.752546e+00	-5.147161e-02	-1.894208e+01	1.889061e+01
0.06          	-1.852388e+01	3.689406e+00	-2.680146e-02	-1.853728e+01	1.851048e+01
0.065         	-1.809060e+01	3.600403e+00	-3.075705e-02	-1.810598e+01	1.807522e+01
0.07          	-1.776885e+01	3.536126e+00	-2.761545e-02	-1.778266e+01	1.775505e+01
0.075         	-1.759228e+01	3.500667e+00	-2.707434e-02	-1.760582e+01	1.757874e+01
0.08          	-1.738710e+01	3.462446e+00	-2.175945e-02	-1.739798e+01	1.737622e+01
0.085         	-1.718370e+01	3.421840e+00	-2.075692e-02	-1.719407e+01	1.717332e+01
0.09          	-1.699585e+01	3.392511e+00	-3.954152e-03	-1.699783e+01	1.699388e+01
0.095         	-1.681690e+01	3.360577e+00	4.114667e-03	-1.681484e+01	1.681895e+01
0.1           	-1.677273e+01	3.351023e+00	3.530808e-03	-1.677097e+01	1.677450e+01
0.105         	-1.664541e+01	3.324441e+00	-3.101822e-04	-1.664556e+01	1.664525e+01
0.11          	-1.656162e+01	3.304575e+00	-7.906789e-03	-1.656558e+01	1.655767e+01
0.115         	-1.640340e+01	3.274993e+00	-3.672097e-03	-1.640524e+01	1.640156e+01
0.12          	-1.623896e+01	3.239500e+00	-4.385829e-03	-1.624115e+01	1.623676e+01
0.125         	-1.616054e+01	3.230547e+00	6.767621e-03	-1.615716e+01	1.616393e+01
0.13          	-1.604277e+01	3.206380e+00	1.966211e-03	-1.604179e+01	1.604375e+01
0.135         	-1.598833e+01	3.193280e+00	-2.455612e-03	-1.598956e+01	1.598711e+01
0.14          	-1.590635e+01	3.180705e+00	3.647707e-03	-1.590452e+01	1.590817e+01
0.145         	-1.584870e+01	3.175262e+00	1.216403e-02	-1.584262e+01	1.585478e+01
0.15          	-1.577763e+01	3.163955e+00	1.521159e-02	-1.577002e+01	1.578523e+01
