# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((3.739498e+01 -2.500518e-01 0.000000e+00) (5.371592e+00 7.689385e-02 7.991019e-19)) ((1.250259e-01 1.869749e+01 -1.872776e+02) (-3.844692e-02 2.685796e+00 -2.653580e+01))
0.1           	((3.302953e+01 -4.357351e-02 0.000000e+00) (3.432956e+00 8.199223e-02 9.661905e-19)) ((2.178675e-02 1.651476e+01 -1.657623e+02) (-4.099611e-02 1.716478e+00 -1.674181e+01))
0.15          	((3.201481e+01 1.595231e-01 0.000000e+00) (2.412184e+00 5.994202e-03 1.049042e-18)) ((-7.976155e-02 1.600741e+01 -1.597395e+02) (-2.997101e-03 1.206092e+00 -1.193683e+01))
0.2           	((3.198095e+01 3.860378e-01 0.000000e+00) (1.747969e+00 -2.849450e-02 1.064952e-18)) ((-1.930189e-01 1.599048e+01 -1.587475e+02) (1.424725e-02 8.739846e-01 -8.787055e+00))
0.25          	((3.213358e+01 5.141013e-01 0.000000e+00) (1.236585e+00 -4.369726e-02 1.145529e-18)) ((-2.570507e-01 1.606679e+01 -1.592080e+02) (2.184863e-02 6.182924e-01 -6.292979e+00))
0.3           	((3.224602e+01 3.927710e-01 0.000000e+00) (8.192844e-01 -6.560545e-02 1.226560e-18)) ((-1.963855e-01 1.612301e+01 -1.602518e+02) (3.280272e-02 4.096422e-01 -4.262154e+00))
0.35          	((3.230072e+01 2.860606e-01 0.000000e+00) (4.661808e-01 -6.968777e-02 1.313823e-18)) ((-1.430303e-01 1.615036e+01 -1.608986e+02) (3.484388e-02 2.330904e-01 -2.506606e+00))
0.4           	((3.230660e+01 1.345799e-01 0.000000e+00) (1.589769e-01 -6.360101e-02 1.407578e-18)) ((-6.728995e-02 1.615330e+01 -1.613875e+02) (3.180051e-02 7.948843e-02 -9.613322e-01))
0.45          	((3.228024e+01 1.224578e-01 0.000000e+00) (-1.118931e-01 -5.645457e-02 1.493152e-18)) ((-6.122888e-02 1.614012e+01 -1.613080e+02) (2.822729e-02 -5.594657e-02 4.047869e-01))
0.5           	((3.223363e+01 8.993711e-02 0.000000e+00) (-3.526801e-01 -5.227506e-02 1.549997e-18)) ((-4.496856e-02 1.611681e+01 -1.611247e+02) (2.613753e-02 -1.763400e-01 1.612973e+00))
0.55          	((3.197578e+01 5.784601e-02 0.000000e+00) (-5.691409e-01 -5.083683e-02 1.582277e-18)) ((-2.892300e-02 1.598789e+01 -1.599010e+02) (2.541842e-02 -2.845704e-01 2.692212e+00))
0.6           	((3.153650e+01 7.870267e-02 0.000000e+00) (-7.652934e-01 -4.858159e-02 1.601332e-18)) ((-3.935134e-02 1.576825e+01 -1.576246e+02) (2.429080e-02 -3.826467e-01 3.677447e+00))
0.65          	((3.084053e+01 3.363721e-02 0.000000e+00) (-9.397548e-01 -4.465122e-02 1.618022e-18)) ((-1.681860e-02 1.542026e+01 -1.542502e+02) (2.232561e-02 -4.698774e-01 4.562298e+00))
0.7           	((3.002206e+01 6.555726e-02 0.000000e+00) (-1.091541e+00 -3.865248e-02 1.624624e-18)) ((-3.277863e-02 1.501103e+01 -1.500691e+02) (1.932624e-02 -5.457707e-01 5.339492e+00))
0.75          	((2.909705e+01 1.085442e-01 0.000000e+00) (-1.223078e+00 -3.269485e-02 1.624480e-18)) ((-5.427208e-02 1.454852e+01 -1.453108e+02) (1.634743e-02 -6.115390e-01 6.014620e+00))
0.8           	((2.812829e+01 2.041044e-01 0.000000e+00) (-1.340657e+00 -2.989275e-02 1.615154e-18)) ((-1.020522e-01 1.406414e+01 -1.401783e+02) (1.494638e-02 -6.703287e-01 6.611328e+00))
0.85          	((2.713745e+01 2.059442e-01 0.000000e+00) (-1.449178e+00 -3.189645e-02 1.608313e-18)) ((-1.029721e-01 1.356873e+01 -1.352256e+02) (1.594822e-02 -7.245892e-01 7.148915e+00))
0.9           	((2.623407e+01 2.237000e-01 0.000000e+00) (-1.548742e+00 -3.290446e-02 1.612250e-18)) ((-1.118500e-01 1.311704e+01 -1.306249e+02) (1.645223e-02 -7.743710e-01 7.646226e+00))
0.95          	((2.536732e+01 2.571746e-01 0.000000e+00) (-1.638354e+00 -3.121893e-02 1.632880e-18)) ((-1.285873e-01 1.268366e+01 -1.261683e+02) (1.560946e-02 -8.191770e-01 8.103831e+00))
1             	((2.466572e+01 2.520823e-01 0.000000e+00) (-1.714749e+00 -2.890595e-02 1.666473e-18)) ((-1.260412e-01 1.233286e+01 -1.226764e+02) (1.445297e-02 -8.573747e-01 8.497785e+00))
1.05          	((2.416403e+01 2.869461e-01 0.000000e+00) (-1.774841e+00 -2.584808e-02 1.705231e-18)) ((-1.434731e-01 1.208202e+01 -1.200472e+02) (1.292404e-02 -8.874205e-01 8.811601e+00))
1.1           	((2.391880e+01 3.035771e-01 0.000000e+00) (-1.818746e+00 -2.212586e-02 1.746227e-18)) ((-1.517885e-01 1.195940e+01 -1.187562e+02) (1.106293e-02 -9.093730e-01 9.044592e+00))
1.15          	((2.397810e+01 3.940948e-01 0.000000e+00) (-1.848206e+00 -1.747075e-02 1.781339e-18)) ((-1.970474e-01 1.198905e+01 -1.187080e+02) (8.735376e-03 -9.241029e-01 9.206000e+00))
1.2           	((2.430901e+01 3.710418e-01 0.000000e+00) (-1.865152e+00 -1.478732e-02 1.807374e-18)) ((-1.855209e-01 1.215451e+01 -1.204539e+02) (7.393658e-03 -9.325759e-01 9.296144e+00))
1.25          	((2.484413e+01 4.505482e-01 0.000000e+00) (-1.869935e+00 -1.404926e-02 1.825429e-18)) ((-2.252741e-01 1.242206e+01 -1.228420e+02) (7.024629e-03 -9.349673e-01 9.316709e+00))
1.3           	((2.560506e+01 4.417495e-01 0.000000e+00) (-1.862642e+00 -1.499014e-02 1.832870e-18)) ((-2.208748e-01 1.280253e+01 -1.266597e+02) (7.495071e-03 -9.313212e-01 9.272039e+00))
1.35          	((2.655738e+01 5.066261e-01 0.000000e+00) (-1.838512e+00 -1.629069e-02 1.831947e-18)) ((-2.533130e-01 1.327869e+01 -1.311802e+02) (8.145346e-03 -9.192559e-01 9.145512e+00))
1.4           	((2.767142e+01 6.246954e-01 0.000000e+00) (-1.792003e+00 -1.810624e-02 1.819233e-18)) ((-3.123477e-01 1.383571e+01 -1.363120e+02) (9.053119e-03 -8.960013e-01 8.909677e+00))
1.45          	((2.892518e+01 7.359678e-01 0.000000e+00) (-1.721028e+00 -2.156382e-02 1.796758e-18)) ((-3.679839e-01 1.446259e+01 -1.421674e+02) (1.078191e-02 -8.605141e-01 8.548578e+00))
1.5           	((3.035816e+01 8.732857e-01 0.000000e+00) (-1.627424e+00 -2.508743e-02 1.765092e-18)) ((-4.366428e-01 1.517908e+01 -1.488227e+02) (1.254372e-02 -8.137120e-01 8.074528e+00))
1.55          	((3.199770e+01 9.881045e-01 0.000000e+00) (-1.513800e+00 -2.716268e-02 1.728933e-18)) ((-4.940523e-01 1.599885e+01 -1.566041e+02) (1.358134e-02 -7.568998e-01 7.504090e+00))
1.6           	((3.380642e+01 1.109400e+00 0.000000e+00) (-1.379012e+00 -2.798433e-02 1.691752e-18)) ((-5.546999e-01 1.690321e+01 -1.652078e+02) (1.399217e-02 -6.895060e-01 6.833684e+00))
1.65          	((3.569721e+01 1.241748e+00 0.000000e+00) (-1.221505e+00 -2.620633e-02 1.652281e-18)) ((-6.208739e-01 1.784861e+01 -1.741999e+02) (1.310317e-02 -6.107526e-01 6.061321e+00))
1.7           	((3.761803e+01 1.369973e+00 0.000000e+00) (-1.043410e+00 -2.129670e-02 1.609074e-18)) ((-6.849866e-01 1.880901e+01 -1.833675e+02) (1.064835e-02 -5.217049e-01 5.198654e+00))
1.75          	((3.952227e+01 1.423646e+00 0.000000e+00) (-8.518532e-01 -1.188837e-02 1.563693e-18)) ((-7.118232e-01 1.976113e+01 -1.927316e+02) (5.944187e-03 -4.259266e-01 4.284433e+00))
1.8           	((4.138595e+01 1.504561e+00 0.000000e+00) (-6.564179e-01 3.423284e-04 1.520400e-18)) ((-7.522804e-01 2.069298e+01 -2.018209e+02) (-1.711642e-04 -3.282090e-01 3.358936e+00))
1.85          	((4.311155e+01 1.510826e+00 0.000000e+00) (-4.680980e-01 1.298713e-02 1.482098e-18)) ((-7.554130e-01 2.155577e+01 -2.104845e+02) (-6.493567e-03 -2.340490e-01 2.466235e+00))
1.9           	((4.456720e+01 1.537945e+00 0.000000e+00) (-2.982194e-01 2.328533e-02 1.450068e-18)) ((-7.689725e-01 2.228360e+01 -2.177345e+02) (-1.164266e-02 -1.491097e-01 1.649217e+00))
1.95          	((4.578501e+01 1.600284e+00 0.000000e+00) (-1.556696e-01 2.590452e-02 1.420031e-18)) ((-8.001418e-01 2.289251e+01 -2.236981e+02) (-1.295226e-02 -7.783478e-02 9.296902e-01))
2             	((4.666329e+01 1.615598e+00 0.000000e+00) (-4.599046e-02 2.842649e-02 1.396626e-18)) ((-8.077988e-01 2.333165e+01 -2.281532e+02) (-1.421324e-02 -2.299523e-02 3.676704e-01))
2.05          	((4.712980e+01 1.647163e+00 0.000000e+00) (3.013168e-02 2.572377e-02 1.381773e-18)) ((-8.235814e-01 2.356490e+01 -2.304967e+02) (-1.286189e-02 1.506584e-02 -4.762920e-02))
2.1           	((4.724650e+01 1.617193e+00 0.000000e+00) (7.459318e-02 2.082148e-02 1.371233e-18)) ((-8.085964e-01 2.362325e+01 -2.312889e+02) (-1.041074e-02 3.729659e-02 -3.110120e-01))
2.15          	((4.705238e+01 1.613477e+00 0.000000e+00) (8.900235e-02 1.599233e-02 1.365239e-18)) ((-8.067383e-01 2.352619e+01 -2.304127e+02) (-7.996166e-03 4.450117e-02 -4.174050e-01))
2.2           	((4.661694e+01 1.600286e+00 0.000000e+00) (7.776611e-02 1.482119e-02 1.359214e-18)) ((-8.001432e-01 2.330847e+01 -2.283375e+02) (-7.410596e-03 3.888306e-02 -3.757436e-01))
2.25          	((4.605548e+01 1.627671e+00 0.000000e+00) (4.779661e-02 1.649112e-02 1.350391e-18)) ((-8.138357e-01 2.302774e+01 -2.254602e+02) (-8.245561e-03 2.389831e-02 -2.250128e-01))
2.3           	((4.539968e+01 1.560562e+00 0.000000e+00) (5.605513e-03 2.056070e-02 1.341014e-18)) ((-7.802811e-01 2.269984e+01 -2.224146e+02) (-1.028035e-02 2.802756e-03 -1.534386e-03))
2.35          	((4.471595e+01 1.534692e+00 0.000000e+00) (-4.135803e-02 2.455309e-02 1.333632e-18)) ((-7.673461e-01 2.235797e+01 -2.190972e+02) (-1.227655e-02 -2.067902e-02 2.475044e-01))
2.4           	((4.390845e+01 1.522116e+00 0.000000e+00) (-8.816325e-02 2.896503e-02 1.330008e-18)) ((-7.610579e-01 2.195423e+01 -2.151286e+02) (-1.448251e-02 -4.408162e-02 4.982085e-01))
2.45          	((4.307708e+01 1.514440e+00 0.000000e+00) (-1.325465e-01 3.417609e-02 1.329837e-18)) ((-7.572200e-01 2.153854e+01 -2.110206e+02) (-1.708804e-02 -6.627325e-02 7.400823e-01))
2.5           	((4.226649e+01 1.517886e+00 0.000000e+00) (-1.725258e-01 4.088998e-02 1.331490e-18)) ((-7.589428e-01 2.113325e+01 -2.069830e+02) (-2.044499e-02 -8.626289e-02 9.651617e-01))
2.55          	((4.157324e+01 1.547377e+00 0.000000e+00) (-2.066790e-01 4.844340e-02 1.332987e-18)) ((-7.736886e-01 2.078662e+01 -2.034539e+02) (-2.422170e-02 -1.033395e-01 1.163400e+00))
2.6           	((4.105831e+01 1.559626e+00 0.000000e+00) (-2.338281e-01 5.433141e-02 1.334487e-18)) ((-7.798131e-01 2.052915e+01 -2.008914e+02) (-2.716571e-02 -1.169140e-01 1.320217e+00))
